Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request hour,Request day,Time slot,Trip duration,Is Completed,Driver Available,Request Date,Trip Duration Mins,Latitude,Longitude,cluster
619,Airport,1,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11,Monday,Morning,01:09:00,True,True,2016-07-11,69.0,-2.50919762305275,19.78257026738099,3
867,Airport,1,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,17,Monday,Evening,00:50:00,True,True,2016-07-11,50.0,9.014286128198322,7.166867981519715,2
1807,City,1,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,9,Tuesday,Morning,00:41:00,True,True,2016-07-12,41.0,4.639878836228101,-17.03700371158209,4
2532,Airport,1,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,21,Tuesday,Night,00:55:00,True,True,2016-07-12,55.0,1.973169683940732,19.713285267279012,3
3112,City,1,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,Wednesday,Morning,00:52:31,True,True,2016-07-13,52.5,-6.87962719115127,-3.6842305287923836,0
3879,Airport,1,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,Wednesday,Night,00:31:31,True,True,2016-07-13,31.5,-6.880109593275947,-8.503898646180698,1
4270,Airport,1,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,Thursday,Morning,00:57:43,True,True,2016-07-14,57.7,-8.83832775663601,2.315167343115423,0
5510,Airport,1,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,Friday,Morning,00:56:00,True,True,2016-07-15,56.0,7.323522915498703,-7.827696327165427,4
6248,City,1,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,Friday,Evening,00:53:24,True,True,2016-07-15,53.4,2.0223002348641756,-16.541699715193907,4
267,City,2,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,6,Monday,Morning,00:39:00,True,True,2016-07-11,39.0,4.161451555920909,-19.94286627683293,4
1467,Airport,2,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,5,Tuesday,Morning,00:54:00,True,True,2016-07-12,54.0,-9.588310114083951,-2.016665883189507,0
1983,City,2,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12,Tuesday,Afternoon,00:27:00,True,True,2016-07-12,27.0,9.398197043239886,13.474536889063693,3
2784,Airport,2,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,Wednesday,Night,00:33:43,True,True,2016-07-13,33.7,6.648852816008436,2.8926074252030602,2
3075,City,2,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,Wednesday,Morning,01:13:26,True,True,2016-07-13,73.4,-5.753217786434477,19.968291957737634,3
3379,City,2,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,Wednesday,Afternoon,01:12:16,True,True,2016-07-13,72.3,-6.363500655857988,-8.526134174112002,1
3482,Airport,2,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,Wednesday,Evening,00:57:33,True,True,2016-07-13,57.5,-6.331909802931324,-8.781797409597786,1
4652,City,2,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,Thursday,Afternoon,00:35:44,True,True,2016-07-14,35.7,-3.9151551408092455,-13.610021590642232,1
5335,Airport,2,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,Thursday,Night,00:54:39,True,True,2016-07-14,54.6,0.49512863264475726,-13.437456469386593,4
535,Airport,3,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,10,Monday,Morning,00:31:00,True,True,2016-07-11,31.0,-1.3610996271576852,-8.592536159598087,1
960,Airport,3,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,18,Monday,Evening,00:38:00,True,True,2016-07-11,38.0,-4.175417196039161,11.713601810941086,3
1934,Airport,3,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,11,Tuesday,Morning,01:06:00,True,True,2016-07-12,66.0,2.23705789444759,16.230271625457917,3
2083,Airport,3,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,15,Tuesday,Afternoon,00:54:00,True,True,2016-07-12,54.0,-7.210122786959163,19.00348678830725,3
2211,Airport,3,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,18,Tuesday,Evening,00:28:00,True,True,2016-07-12,28.0,-4.157107029295637,-10.708413836141894,1
3096,Airport,3,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,Wednesday,Morning,01:05:08,True,True,2016-07-13,65.1,-2.672763134126166,15.251901824563667,3
3881,Airport,3,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,Wednesday,Night,00:57:05,True,True,2016-07-13,57.1,-0.8786003156592805,-6.869796428906518,1
5254,City,3,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,Thursday,Night,01:02:16,True,True,2016-07-14,62.3,5.703519227860273,-15.486378219324624,4
5434,City,3,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,Friday,Night,00:43:05,True,True,2016-07-15,43.1,-6.006524356832806,14.800997020806626,3
5916,City,3,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,Friday,Morning,00:52:23,True,True,2016-07-15,52.4,0.28468876827223255,5.444225385744744,2
669,City,4,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,13,Monday,Afternoon,00:41:00,True,True,2016-07-11,41.0,1.8482913772408498,-13.41076415675753,4
1567,Airport,4,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,6,Tuesday,Morning,00:49:00,True,True,2016-07-12,49.0,-9.070991745600045,-2.806749699479898,0
1826,City,4,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,9,Tuesday,Morning,01:00:00,True,True,2016-07-12,60.0,2.1508970380287664,-8.509692204917293,4
2102,City,4,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,16,Tuesday,Afternoon,00:52:00,True,True,2016-07-12,52.0,-6.58951752625417,9.471782748407879,3
2847,Airport,4,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,Wednesday,Morning,00:35:39,True,True,2016-07-13,35.6,-8.69896814029441,-1.8633507750292786,0
3722,Airport,4,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,Wednesday,Evening,00:34:05,True,True,2016-07-13,34.1,8.977710745066666,19.571197804255398,3
4075,City,4,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,Thursday,Night,01:04:03,True,True,2016-07-14,64.0,9.312640661491187,-17.810200709616197,4
4686,City,4,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,Thursday,Afternoon,00:44:18,True,True,2016-07-14,44.3,6.167946962329221,-5.799389354550133,4
